antecedent,consequent,support,confidence,lift
"('fires_30day_level=Low', 'season=Winter')","('acres_7day_level=Low',)",0.1952,0.8723,2.6549
"('acres_7day_level=Low', 'season=Winter')","('fires_30day_level=Low',)",0.1952,0.8723,2.6549
"('fires_7day_level=Low',)","('acres_30day_level=Low', 'fires_30day_level=Low')",0.2333,0.7206,2.6548
"('acres_30day_level=Low',)","('fires_30day_level=Low', 'fires_7day_level=Low')",0.2333,0.7,2.4915
"('fires_30day_level=Low',)","('acres_30day_level=Low', 'fires_7day_level=Low')",0.2333,0.7101,2.8138
"('acres_30day_level=Low', 'fires_7day_level=Low')","('fires_30day_level=Low',)",0.2333,0.9245,2.8138
"('fires_30day_level=Low', 'fires_7day_level=Low')","('acres_30day_level=Low',)",0.2333,0.8305,2.4915
"('acres_30day_level=Low', 'fires_30day_level=Low')","('fires_7day_level=Low',)",0.2333,0.8596,2.6548
"('fires_7day_level=Low',)","('acres_7day_level=Low', 'fires_30day_level=Low')",0.2381,0.7353,2.709
"('fires_30day_level=Low',)","('acres_7day_level=Low', 'fires_7day_level=Low')",0.2381,0.7246,2.6697
"('acres_7day_level=Low',)","('fires_30day_level=Low', 'fires_7day_level=Low')",0.2381,0.7246,2.5792
"('fires_30day_level=Low', 'fires_7day_level=Low')","('acres_7day_level=Low',)",0.2381,0.8475,2.5792
"('acres_7day_level=Low', 'fires_7day_level=Low')","('fires_30day_level=Low',)",0.2381,0.8772,2.6697
"('acres_7day_level=Low', 'fires_30day_level=Low')","('fires_7day_level=Low',)",0.2381,0.8772,2.709
"('acres_30day_level=Low',)","('acres_7day_level=Low', 'fires_30day_level=Low')",0.2381,0.7143,2.6316
"('fires_30day_level=Low',)","('acres_30day_level=Low', 'acres_7day_level=Low')",0.2381,0.7246,2.7668
"('acres_7day_level=Low',)","('acres_30day_level=Low', 'fires_30day_level=Low')",0.2381,0.7246,2.6697
"('acres_30day_level=Low', 'fires_30day_level=Low')","('acres_7day_level=Low',)",0.2381,0.8772,2.6697
"('acres_30day_level=Low', 'acres_7day_level=Low')","('fires_30day_level=Low',)",0.2381,0.9091,2.7668
"('acres_7day_level=Low', 'fires_30day_level=Low')","('acres_30day_level=Low',)",0.2381,0.8772,2.6316
"('season=Winter',)","('acres_30day_level=Low', 'fires_7day_level=Low')",0.1857,0.661,2.6191
"('acres_30day_level=Low', 'fires_7day_level=Low')","('season=Winter',)",0.1857,0.7358,2.6191
"('fires_7day_level=Low', 'season=Winter')","('acres_30day_level=Low',)",0.1857,0.8667,2.6
"('acres_30day_level=Low', 'season=Winter')","('fires_7day_level=Low',)",0.1857,0.8864,2.7373
"('season=Winter',)","('acres_7day_level=Low', 'fires_7day_level=Low')",0.1905,0.678,2.4978
"('acres_7day_level=Low', 'fires_7day_level=Low')","('season=Winter',)",0.1905,0.7018,2.4978
"('fires_7day_level=Low', 'season=Winter')","('acres_7day_level=Low',)",0.1905,0.8889,2.7053
"('acres_7day_level=Low', 'season=Winter')","('fires_7day_level=Low',)",0.1905,0.8511,2.6283
"('season=Winter',)","('acres_30day_level=Low', 'acres_7day_level=Low')",0.1857,0.661,2.5239
"('acres_30day_level=Low', 'acres_7day_level=Low')","('season=Winter',)",0.1857,0.7091,2.5239
"('acres_30day_level=Low', 'season=Winter')","('acres_7day_level=Low',)",0.1857,0.8864,2.6976
"('acres_7day_level=Low', 'season=Winter')","('acres_30day_level=Low',)",0.1857,0.8298,2.4894
"('fires_7day_level=Low',)","('acres_30day_level=Low', 'acres_7day_level=Low')",0.219,0.6765,2.5829
"('acres_30day_level=Low',)","('acres_7day_level=Low', 'fires_7day_level=Low')",0.219,0.6571,2.4211
"('acres_7day_level=Low',)","('acres_30day_level=Low', 'fires_7day_level=Low')",0.219,0.6667,2.6415
"('acres_30day_level=Low', 'fires_7day_level=Low')","('acres_7day_level=Low',)",0.219,0.8679,2.6415
"('acres_7day_level=Low', 'fires_7day_level=Low')","('acres_30day_level=Low',)",0.219,0.807,2.4211
"('acres_30day_level=Low', 'acres_7day_level=Low')","('fires_7day_level=Low',)",0.219,0.8364,2.5829
"('season=Summer',)","('fires_30day_level=High',)",0.2619,0.9167,2.6736
"('fires_30day_level=High',)","('season=Summer',)",0.2619,0.7639,2.6736
"('season=Summer',)","('is_high_fire_activity',)",0.281,0.9833,2.1737
"('is_high_fire_activity',)","('season=Summer',)",0.281,0.6211,2.1737
"('season=Summer',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.181,0.6333,0.9048
"('season=Summer',)","('acres_30day_level=High',)",0.1952,0.6833,2.05
"('season=Summer',)","('acres_7day_level=High',)",0.1857,0.65,1.95
"('season=Summer',)","('is_wildfire_season',)",0.2857,1.0,2.0388
"('season=Summer',)","('fires_7day_level=High',)",0.2571,0.9,2.7
"('fires_7day_level=High',)","('season=Summer',)",0.2571,0.7714,2.7
"('season=Summer',)","('has_active_fire',)",0.2857,1.0,1.0881
"('season=Summer',)","('fires_30day_level=High', 'is_high_fire_activity')",0.2571,0.9,2.8209
"('fires_30day_level=High',)","('is_high_fire_activity', 'season=Summer')",0.2571,0.75,2.6695
"('fires_30day_level=High', 'season=Summer')","('is_high_fire_activity',)",0.2571,0.9818,2.1703
"('is_high_fire_activity', 'season=Summer')","('fires_30day_level=High',)",0.2571,0.9153,2.6695
"('fires_30day_level=High', 'is_high_fire_activity')","('season=Summer',)",0.2571,0.806,2.8209
"('season=Summer',)","('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')",0.181,0.6333,2.5094
"('fires_30day_level=High', 'season=Summer')","('CUSTOMERS.AFFECTED_level=Medium',)",0.181,0.6909,0.987
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Summer')","('fires_30day_level=High',)",0.181,1.0,2.9167
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_30day_level=High')","('season=Summer',)",0.181,0.717,2.5094
"('season=Summer',)","('acres_30day_level=High', 'fires_30day_level=High')",0.1952,0.6833,2.7075
"('fires_30day_level=High', 'season=Summer')","('acres_30day_level=High',)",0.1952,0.7455,2.2364
"('acres_30day_level=High', 'season=Summer')","('fires_30day_level=High',)",0.1952,1.0,2.9167
"('acres_30day_level=High', 'fires_30day_level=High')","('season=Summer',)",0.1952,0.7736,2.7075
"('season=Summer',)","('acres_7day_level=High', 'fires_30day_level=High')",0.1857,0.65,2.73
"('fires_30day_level=High', 'season=Summer')","('acres_7day_level=High',)",0.1857,0.7091,2.1273
"('acres_7day_level=High', 'season=Summer')","('fires_30day_level=High',)",0.1857,1.0,2.9167
"('acres_7day_level=High', 'fires_30day_level=High')","('season=Summer',)",0.1857,0.78,2.73
"('fires_30day_level=High', 'season=Summer')","('max_frp_level=High',)",0.1571,0.6,1.8
"('max_frp_level=High', 'season=Summer')","('fires_30day_level=High',)",0.1571,0.9706,2.8309
"('fires_30day_level=High', 'max_frp_level=High')","('season=Summer',)",0.1571,0.75,2.625
"('season=Summer',)","('fires_30day_level=High', 'is_wildfire_season')",0.2619,0.9167,2.75
"('fires_30day_level=High',)","('is_wildfire_season', 'season=Summer')",0.2619,0.7639,2.6736
"('fires_30day_level=High', 'season=Summer')","('is_wildfire_season',)",0.2619,1.0,2.0388
"('is_wildfire_season', 'season=Summer')","('fires_30day_level=High',)",0.2619,0.9167,2.6736
"('fires_30day_level=High', 'is_wildfire_season')","('season=Summer',)",0.2619,0.7857,2.75
"('season=Summer',)","('fires_30day_level=High', 'fires_7day_level=High')",0.2476,0.8667,3.0333
"('fires_30day_level=High',)","('fires_7day_level=High', 'season=Summer')",0.2476,0.7222,2.8086
"('fires_7day_level=High',)","('fires_30day_level=High', 'season=Summer')",0.2476,0.7429,2.8364
"('fires_30day_level=High', 'season=Summer')","('fires_7day_level=High',)",0.2476,0.9455,2.8364
"('fires_7day_level=High', 'season=Summer')","('fires_30day_level=High',)",0.2476,0.963,2.8086
"('fires_30day_level=High', 'fires_7day_level=High')","('season=Summer',)",0.2476,0.8667,3.0333
"('season=Summer',)","('fires_30day_level=High', 'has_active_fire')",0.2619,0.9167,2.6736
"('fires_30day_level=High',)","('has_active_fire', 'season=Summer')",0.2619,0.7639,2.6736
"('fires_30day_level=High', 'season=Summer')","('has_active_fire',)",0.2619,1.0,1.0881
"('has_active_fire', 'season=Summer')","('fires_30day_level=High',)",0.2619,0.9167,2.6736
"('fires_30day_level=High', 'has_active_fire')","('season=Summer',)",0.2619,0.7639,2.6736
"('season=Summer',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_high_fire_activity')",0.1762,0.6167,2.0234
"('is_high_fire_activity', 'season=Summer')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1762,0.6271,0.8959
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Summer')","('is_high_fire_activity',)",0.1762,0.9737,2.1524
"('season=Summer',)","('acres_30day_level=High', 'is_high_fire_activity')",0.1952,0.6833,2.6091
"('acres_30day_level=High', 'season=Summer')","('is_high_fire_activity',)",0.1952,1.0,2.2105
"('is_high_fire_activity', 'season=Summer')","('acres_30day_level=High',)",0.1952,0.6949,2.0847
"('acres_30day_level=High', 'is_high_fire_activity')","('season=Summer',)",0.1952,0.7455,2.6091
"('season=Summer',)","('acres_7day_level=High', 'is_high_fire_activity')",0.1857,0.65,2.4375
"('acres_7day_level=High', 'season=Summer')","('is_high_fire_activity',)",0.1857,1.0,2.2105
"('is_high_fire_activity', 'season=Summer')","('acres_7day_level=High',)",0.1857,0.661,1.9831
"('acres_7day_level=High', 'is_high_fire_activity')","('season=Summer',)",0.1857,0.6964,2.4375
"('max_frp_level=High', 'season=Summer')","('is_high_fire_activity',)",0.1571,0.9706,2.1455
"('is_high_fire_activity', 'max_frp_level=High')","('season=Summer',)",0.1571,0.6226,2.1792
"('season=Summer',)","('is_high_fire_activity', 'is_wildfire_season')",0.281,0.9833,2.7171
"('is_high_fire_activity',)","('is_wildfire_season', 'season=Summer')",0.281,0.6211,2.1737
"('is_wildfire_season', 'season=Summer')","('is_high_fire_activity',)",0.281,0.9833,2.1737
"('is_high_fire_activity', 'season=Summer')","('is_wildfire_season',)",0.281,1.0,2.0388
"('is_high_fire_activity', 'is_wildfire_season')","('season=Summer',)",0.281,0.7763,2.7171
"('season=Summer',)","('fires_7day_level=High', 'is_high_fire_activity')",0.2571,0.9,2.7794
"('fires_7day_level=High',)","('is_high_fire_activity', 'season=Summer')",0.2571,0.7714,2.7458
"('fires_7day_level=High', 'season=Summer')","('is_high_fire_activity',)",0.2571,1.0,2.2105
"('is_high_fire_activity', 'season=Summer')","('fires_7day_level=High',)",0.2571,0.9153,2.7458
"('fires_7day_level=High', 'is_high_fire_activity')","('season=Summer',)",0.2571,0.7941,2.7794
"('season=Summer',)","('has_active_fire', 'is_high_fire_activity')",0.281,0.9833,2.1737
"('is_high_fire_activity',)","('has_active_fire', 'season=Summer')",0.281,0.6211,2.1737
"('has_active_fire', 'season=Summer')","('is_high_fire_activity',)",0.281,0.9833,2.1737
"('is_high_fire_activity', 'season=Summer')","('has_active_fire',)",0.281,1.0,1.0881
"('has_active_fire', 'is_high_fire_activity')","('season=Summer',)",0.281,0.6211,2.1737
"('acres_30day_level=High', 'season=Summer')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1476,0.7561,1.0801
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Summer')","('acres_30day_level=High',)",0.1476,0.8158,2.4474
"('season=Summer',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_wildfire_season')",0.181,0.6333,1.9275
"('is_wildfire_season', 'season=Summer')","('CUSTOMERS.AFFECTED_level=Medium',)",0.181,0.6333,0.9048
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Summer')","('is_wildfire_season',)",0.181,1.0,2.0388
"('season=Summer',)","('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=High')",0.1714,0.6,2.6809
"('fires_7day_level=High', 'season=Summer')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1714,0.6667,0.9524
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Summer')","('fires_7day_level=High',)",0.1714,0.9474,2.8421
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=High')","('season=Summer',)",0.1714,0.766,2.6809
"('season=Summer',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.181,0.6333,0.9568
"('has_active_fire', 'season=Summer')","('CUSTOMERS.AFFECTED_level=Medium',)",0.181,0.6333,0.9048
"('CUSTOMERS.AFFECTED_level=Medium', 'season=Summer')","('has_active_fire',)",0.181,1.0,1.0881
"('acres_30day_level=High', 'season=Summer')","('acres_7day_level=High',)",0.1524,0.7805,2.3415
"('acres_7day_level=High', 'season=Summer')","('acres_30day_level=High',)",0.1524,0.8205,2.4615
"('acres_30day_level=High', 'acres_7day_level=High')","('season=Summer',)",0.1524,0.6038,2.1132
"('season=Summer',)","('acres_30day_level=High', 'is_wildfire_season')",0.1952,0.6833,2.2778
"('is_wildfire_season', 'season=Summer')","('acres_30day_level=High',)",0.1952,0.6833,2.05
"('acres_30day_level=High', 'season=Summer')","('is_wildfire_season',)",0.1952,1.0,2.0388
"('acres_30day_level=High', 'is_wildfire_season')","('season=Summer',)",0.1952,0.6508,2.2778
"('season=Summer',)","('acres_30day_level=High', 'fires_7day_level=High')",0.1905,0.6667,2.8571
"('acres_30day_level=High', 'season=Summer')","('fires_7day_level=High',)",0.1905,0.9756,2.9268
"('fires_7day_level=High', 'season=Summer')","('acres_30day_level=High',)",0.1905,0.7407,2.2222
"('acres_30day_level=High', 'fires_7day_level=High')","('season=Summer',)",0.1905,0.8163,2.8571
"('season=Summer',)","('acres_30day_level=High', 'has_active_fire')",0.1952,0.6833,2.05
"('acres_30day_level=High', 'season=Summer')","('has_active_fire',)",0.1952,1.0,1.0881
"('has_active_fire', 'season=Summer')","('acres_30day_level=High',)",0.1952,0.6833,2.05
"('season=Summer',)","('acres_7day_level=High', 'is_wildfire_season')",0.1857,0.65,2.4375
"('is_wildfire_season', 'season=Summer')","('acres_7day_level=High',)",0.1857,0.65,1.95
"('acres_7day_level=High', 'season=Summer')","('is_wildfire_season',)",0.1857,1.0,2.0388
"('acres_7day_level=High', 'is_wildfire_season')","('season=Summer',)",0.1857,0.6964,2.4375
"('season=Summer',)","('acres_7day_level=High', 'fires_7day_level=High')",0.181,0.6333,2.7143
"('fires_7day_level=High', 'season=Summer')","('acres_7day_level=High',)",0.181,0.7037,2.1111
"('acres_7day_level=High', 'season=Summer')","('fires_7day_level=High',)",0.181,0.9744,2.9231
"('acres_7day_level=High', 'fires_7day_level=High')","('season=Summer',)",0.181,0.7755,2.7143
"('season=Summer',)","('acres_7day_level=High', 'has_active_fire')",0.1857,0.65,1.95
"('has_active_fire', 'season=Summer')","('acres_7day_level=High',)",0.1857,0.65,1.95
"('acres_7day_level=High', 'season=Summer')","('has_active_fire',)",0.1857,1.0,1.0881
"('max_frp_level=High', 'season=Summer')","('is_wildfire_season',)",0.1619,1.0,2.0388
"('is_wildfire_season', 'max_frp_level=High')","('season=Summer',)",0.1619,0.6296,2.2037
"('fires_7day_level=High', 'season=Summer')","('max_frp_level=High',)",0.1571,0.6111,1.8333
"('max_frp_level=High', 'season=Summer')","('fires_7day_level=High',)",0.1571,0.9706,2.9118
"('fires_7day_level=High', 'max_frp_level=High')","('season=Summer',)",0.1571,0.7674,2.686
"('max_frp_level=High', 'season=Summer')","('has_active_fire',)",0.1619,1.0,1.0881
"('season=Summer',)","('fires_7day_level=High', 'is_wildfire_season')",0.2571,0.9,3.0484
"('fires_7day_level=High',)","('is_wildfire_season', 'season=Summer')",0.2571,0.7714,2.7
"('is_wildfire_season', 'season=Summer')","('fires_7day_level=High',)",0.2571,0.9,2.7
"('fires_7day_level=High', 'season=Summer')","('is_wildfire_season',)",0.2571,1.0,2.0388
"('fires_7day_level=High', 'is_wildfire_season')","('season=Summer',)",0.2571,0.871,3.0484
"('season=Summer',)","('has_active_fire', 'is_wildfire_season')",0.2857,1.0,2.0792
"('is_wildfire_season', 'season=Summer')","('has_active_fire',)",0.2857,1.0,1.0881
"('has_active_fire', 'season=Summer')","('is_wildfire_season',)",0.2857,1.0,2.0388
"('season=Summer',)","('fires_7day_level=High', 'has_active_fire')",0.2571,0.9,2.7
"('fires_7day_level=High',)","('has_active_fire', 'season=Summer')",0.2571,0.7714,2.7
"('fires_7day_level=High', 'season=Summer')","('has_active_fire',)",0.2571,1.0,1.0881
"('has_active_fire', 'season=Summer')","('fires_7day_level=High',)",0.2571,0.9,2.7
"('fires_7day_level=High', 'has_active_fire')","('season=Summer',)",0.2571,0.7714,2.7
"('DEMAND.LOSS.MW_level=Medium', 'season=Summer')","('fires_30day_level=High',)",0.1476,1.0,2.9167
"('DEMAND.LOSS.MW_level=Medium', 'fires_30day_level=High')","('season=Summer',)",0.1476,0.8158,2.8553
"('DEMAND.LOSS.MW_level=Medium', 'season=Summer')","('is_high_fire_activity',)",0.1476,1.0,2.2105
"('DEMAND.LOSS.MW_level=Medium', 'is_high_fire_activity')","('season=Summer',)",0.1476,0.7045,2.4659
"('DEMAND.LOSS.MW_level=Medium', 'season=Summer')","('is_wildfire_season',)",0.1476,1.0,2.0388
"('DEMAND.LOSS.MW_level=Medium', 'is_wildfire_season')","('season=Summer',)",0.1476,0.7381,2.5833
"('DEMAND.LOSS.MW_level=Medium', 'season=Summer')","('has_active_fire',)",0.1476,1.0,1.0881
"('DEMAND.LOSS.MW_level=Medium', 'season=Summer')","('fires_7day_level=High',)",0.1476,1.0,3.0
"('DEMAND.LOSS.MW_level=Medium', 'fires_7day_level=High')","('season=Summer',)",0.1476,0.8611,3.0139
"('OUTAGE.DURATION_level=Low', 'is_high_fire_activity')","('is_wildfire_season',)",0.1524,0.8889,1.8123
"('OUTAGE.DURATION_level=Low', 'is_wildfire_season')","('is_high_fire_activity',)",0.1524,0.7805,1.7253
"('OUTAGE.DURATION_level=Low', 'is_high_fire_activity')","('has_active_fire',)",0.1714,1.0,1.0881
"('OUTAGE.DURATION_level=Low', 'is_wildfire_season')","('has_active_fire',)",0.1952,1.0,1.0881
"('OUTAGE.DURATION_level=Low', 'has_active_fire')","('is_wildfire_season',)",0.1952,0.6119,1.2476
"('CAUSE.CATEGORY=severe weather',)","('is_high_severity',)",0.2286,0.6857,1.8947
"('is_high_severity',)","('CAUSE.CATEGORY=severe weather',)",0.2286,0.6316,1.8947
"('CAUSE.CATEGORY=severe weather', 'is_high_severity')","('is_long_duration',)",0.1667,0.7292,1.9383
"('CAUSE.CATEGORY=severe weather', 'is_long_duration')","('is_high_severity',)",0.1667,0.8537,2.3588
"('is_high_severity', 'is_long_duration')","('CAUSE.CATEGORY=severe weather',)",0.1667,0.814,2.4419
"('CAUSE.CATEGORY=severe weather', 'CUSTOMERS.AFFECTED_level=Medium')","('is_long_duration',)",0.1667,0.625,1.6614
"('CAUSE.CATEGORY=severe weather', 'is_long_duration')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1667,0.8537,1.2195
"('CAUSE.CATEGORY=severe weather', 'is_long_duration')","('has_active_fire',)",0.1667,0.8537,0.9289
"('CAUSE.CATEGORY=severe weather',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_high_severity')",0.2048,0.6143,1.9254
"('CAUSE.CATEGORY=severe weather', 'is_high_severity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2048,0.8958,1.2798
"('CAUSE.CATEGORY=severe weather', 'CUSTOMERS.AFFECTED_level=Medium')","('is_high_severity',)",0.2048,0.7679,2.1217
"('CUSTOMERS.AFFECTED_level=Medium', 'is_high_severity')","('CAUSE.CATEGORY=severe weather',)",0.2048,0.6418,1.9254
"('CAUSE.CATEGORY=severe weather', 'is_high_severity')","('has_active_fire',)",0.1952,0.8542,0.9294
"('CAUSE.CATEGORY=severe weather', 'has_active_fire')","('is_high_severity',)",0.1952,0.6508,1.7982
"('has_active_fire', 'is_high_severity')","('CAUSE.CATEGORY=severe weather',)",0.1952,0.6119,1.8358
"('is_weekend',)","('has_active_fire',)",0.1762,0.925,1.0065
"('CAUSE.CATEGORY=severe weather', 'OUTAGE.DURATION_level=High')","('is_long_duration',)",0.1762,1.0,2.6582
"('CAUSE.CATEGORY=severe weather', 'is_long_duration')","('OUTAGE.DURATION_level=High',)",0.1762,0.9024,2.7073
"('CAUSE.CATEGORY=severe weather', 'OUTAGE.DURATION_level=High')","('has_active_fire',)",0.1524,0.8649,0.941
"('CUSTOMERS.AFFECTED_level=Low', 'is_wildfire_season')","('has_active_fire',)",0.1524,0.9412,1.0241
"('OUTAGE.DURATION_level=High', 'max_frp_level=Low')","('is_long_duration',)",0.1476,1.0,2.6582
"('is_long_duration', 'max_frp_level=Low')","('OUTAGE.DURATION_level=High',)",0.1476,0.9394,2.8182
"('OUTAGE.DURATION_level=High', 'is_high_severity')","('is_long_duration',)",0.181,1.0,2.6582
"('is_high_severity', 'is_long_duration')","('OUTAGE.DURATION_level=High',)",0.181,0.8837,2.6512
"('OUTAGE.DURATION_level=High', 'fires_30day_level=Low')","('is_long_duration',)",0.1476,1.0,2.6582
"('fires_30day_level=Low', 'is_long_duration')","('OUTAGE.DURATION_level=High',)",0.1476,0.9118,2.7353
"('OUTAGE.DURATION_level=High', 'season=Winter')","('is_long_duration',)",0.1571,1.0,2.6582
"('is_long_duration', 'season=Winter')","('OUTAGE.DURATION_level=High',)",0.1571,0.9167,2.75
"('OUTAGE.DURATION_level=High', 'acres_7day_level=Low')","('is_long_duration',)",0.1571,1.0,2.6582
"('acres_7day_level=Low', 'is_long_duration')","('OUTAGE.DURATION_level=High',)",0.1571,0.9167,2.75
"('OUTAGE.DURATION_level=High', 'is_high_severity')","('has_active_fire',)",0.1571,0.8684,0.9449
"('OUTAGE.DURATION_level=High',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2571,0.7714,1.102
"('CAUSE.CATEGORY=severe weather', 'is_high_severity')","('OUTAGE.DURATION_level=High',)",0.1524,0.6667,2.0
"('CAUSE.CATEGORY=severe weather', 'OUTAGE.DURATION_level=High')","('is_high_severity',)",0.1524,0.8649,2.3898
"('OUTAGE.DURATION_level=High', 'is_high_severity')","('CAUSE.CATEGORY=severe weather',)",0.1524,0.8421,2.5263
"('CAUSE.CATEGORY=severe weather', 'OUTAGE.DURATION_level=High')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1476,0.8378,1.1969
"('CUSTOMERS.AFFECTED_level=Medium', 'fires_7day_level=Low')","('is_long_duration',)",0.1524,0.6809,1.8099
"('fires_7day_level=Low', 'is_long_duration')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1524,0.8421,1.203
"('OUTAGE.DURATION_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'is_long_duration')",0.2571,0.7714,2.5714
"('is_long_duration',)","('CUSTOMERS.AFFECTED_level=Medium', 'OUTAGE.DURATION_level=High')",0.2571,0.6835,2.6582
"('CUSTOMERS.AFFECTED_level=Medium', 'OUTAGE.DURATION_level=High')","('is_long_duration',)",0.2571,1.0,2.6582
"('CUSTOMERS.AFFECTED_level=Medium', 'is_long_duration')","('OUTAGE.DURATION_level=High',)",0.2571,0.8571,2.5714
"('OUTAGE.DURATION_level=High', 'is_long_duration')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2571,0.7714,1.102
"('fires_7day_level=Low', 'is_long_duration')","('has_active_fire',)",0.1476,0.8158,0.8876
"('fires_7day_level=Low', 'is_long_duration')","('fires_30day_level=Low',)",0.1476,0.8158,2.4828
"('fires_30day_level=Low', 'is_long_duration')","('fires_7day_level=Low',)",0.1476,0.9118,2.8157
"('OUTAGE.DURATION_level=High', 'fires_7day_level=Low')","('is_long_duration',)",0.1714,1.0,2.6582
"('fires_7day_level=Low', 'is_long_duration')","('OUTAGE.DURATION_level=High',)",0.1714,0.9474,2.8421
"('OUTAGE.DURATION_level=High', 'is_high_severity')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1619,0.8947,1.2782
"('CUSTOMERS.AFFECTED_level=Medium', 'OUTAGE.DURATION_level=High')","('is_high_severity',)",0.1619,0.6296,1.7398
"('OUTAGE.DURATION_level=High',)","('CUSTOMERS.AFFECTED_level=Medium', 'has_active_fire')",0.2333,0.7,1.0576
"('CUSTOMERS.AFFECTED_level=Medium', 'OUTAGE.DURATION_level=High')","('has_active_fire',)",0.2333,0.9074,0.9873
"('OUTAGE.DURATION_level=High', 'has_active_fire')","('CUSTOMERS.AFFECTED_level=Medium',)",0.2333,0.7903,1.129
"('max_frp_level=Medium',)","('CUSTOMERS.AFFECTED_level=Medium',)",0.2048,0.6143,0.8776
"('CUSTOMERS.AFFECTED_level=Medium', 'max_frp_level=Medium')","('has_active_fire',)",0.1952,0.9535,1.0375
"('has_active_fire', 'max_frp_level=Medium')","('CUSTOMERS.AFFECTED_level=Medium',)",0.1952,0.6119,0.8742
"('is_wildfire_season', 'max_frp_level=Medium')","('has_active_fire',)",0.1714,1.0,1.0881
"('fires_7day_level=Low', 'is_long_duration')","('acres_7day_level=Low',)",0.1524,0.8421,2.5629
"('acres_7day_level=Low', 'is_long_duration')","('fires_7day_level=Low',)",0.1524,0.8889,2.7451
"('OUTAGE.DURATION_level=High', 'fires_7day_level=Low')","('acres_7day_level=Low',)",0.1476,0.8611,2.6208
"('OUTAGE.DURATION_level=High', 'acres_7day_level=Low')","('fires_7day_level=Low',)",0.1476,0.9394,2.9011
